,node_id,ycoord,xcoord,street_count,ref,highway,geometry
17348,8763966786,35.3563244,129.3595488,3,,,POINT (129.3595488 35.3563244)
17349,8763966791,35.358914,129.3581039,4,,,POINT (129.3581039 35.358914)
17350,8763966795,35.3612755,129.3584559,3,,,POINT (129.3584559 35.3612755)
17351,8763966796,35.36133,129.3573113,3,,,POINT (129.3573113 35.36133)
17352,8763976219,35.363957,129.3559019,3,,,POINT (129.3559019 35.363957)
17353,8763976231,35.363517,129.3574403,3,,,POINT (129.3574403 35.363517)
17354,8763976232,35.3578146,129.3529479,3,,,POINT (129.3529479 35.3578146)
17355,8763976245,35.3554303,129.3543955,3,,,POINT (129.3543955 35.3554303)
17356,8764167676,35.3562119,129.3454868,3,,,POINT (129.3454868 35.3562119)
17357,8764167685,35.3566605,129.3440325,3,,,POINT (129.3440325 35.3566605)
17358,8764167686,35.3568092,129.3444222,3,,,POINT (129.3444222 35.3568092)
17359,8764167703,35.3589817,129.3455135,1,,,POINT (129.3455135 35.3589817)
17360,8764167710,35.3523693,129.345165,1,,,POINT (129.345165 35.3523693)
17361,8764182338,35.371404,129.3511801,3,,,POINT (129.3511801 35.371404)
17362,8764182351,35.370072,129.3489988,3,,,POINT (129.3489988 35.370072)
17363,8764182353,35.3677172,129.3487913,1,,,POINT (129.3487913 35.3677172)
17364,8764182362,35.368527,129.3486865,3,,,POINT (129.3486865 35.368527)
17365,8764182370,35.369354,129.3485796,3,,,POINT (129.3485796 35.369354)
17366,8764182371,35.370295,129.3501691,4,,,POINT (129.3501691 35.370295)
17367,8764182374,35.3690356,129.350682,1,,,POINT (129.350682 35.3690356)
17368,8764182375,35.3705427,129.3491532,1,,,POINT (129.3491532 35.3705427)
17369,8764182376,35.3701614,129.349218,3,,,POINT (129.349218 35.3701614)
17370,8764182377,35.3706251,129.349646,1,,,POINT (129.349646 35.3706251)
17371,8764182378,35.3701883,129.3497116,3,,,POINT (129.3497116 35.3701883)
17372,8764182379,35.3706716,129.3501166,1,,,POINT (129.3501166 35.3706716)
17373,8764182380,35.3614349,129.3257068,3,,,POINT (129.3257068 35.3614349)
17374,8764182391,35.3638778,129.3283907,1,,,POINT (129.3283907 35.3638778)
17375,8764182392,35.3563926,129.3420947,3,,,POINT (129.3420947 35.3563926)
17376,8764182396,35.3569207,129.3432622,3,,,POINT (129.3432622 35.3569207)
17377,8764210027,35.3549698,129.3070369,3,,,POINT (129.3070369 35.3549698)
17378,8764210038,35.354632,129.3096405,1,,,POINT (129.3096405 35.354632)
17379,8845128787,35.4209191,129.2809307,3,,,POINT (129.2809307 35.4209191)
17380,8845128788,35.4199453,129.2805765,3,,,POINT (129.2805765 35.4199453)
17381,8845128791,35.4199105,129.2808558,3,,,POINT (129.2808558 35.4199105)
17382,8845128792,35.4203477,129.2814278,3,,,POINT (129.2814278 35.4203477)
17383,8845128801,35.4230543,129.281088,1,,,POINT (129.281088 35.4230543)
17384,8845128805,35.4244706,129.2809454,3,,,POINT (129.2809454 35.4244706)
17385,8845434493,35.4204202,129.2813922,3,,,POINT (129.2813922 35.4204202)
17386,8878690806,35.6620132,129.3568248,1,,,POINT (129.3568248 35.6620132)
17387,8878690808,35.6639582,129.3441433,3,,,POINT (129.3441433 35.6639582)
17388,8878690810,35.6635565,129.344084,1,,,POINT (129.344084 35.6635565)
17389,8878690822,35.6632516,129.3414552,3,,,POINT (129.3414552 35.6632516)
17390,8878690823,35.663305,129.3417042,3,,,POINT (129.3417042 35.663305)
17391,8878690826,35.6635678,129.3413841,3,,,POINT (129.3413841 35.6635678)
17392,8878690827,35.6636219,129.3424958,3,,,POINT (129.3424958 35.6636219)
17393,8878690833,35.6646664,129.3428116,1,,,POINT (129.3428116 35.6646664)
17394,8878690835,35.6633742,129.3452852,3,,,POINT (129.3452852 35.6633742)
17395,8878690838,35.6630996,129.3445932,1,,,POINT (129.3445932 35.6630996)
17396,8878690855,35.6624916,129.3473076,3,,,POINT (129.3473076 35.6624916)
17397,8878690870,35.6623544,129.3499009,3,,,POINT (129.3499009 35.6623544)
17398,8895550644,35.572411,129.1889127,1,,,POINT (129.1889127 35.572411)
17399,8895550650,35.5712605,129.1900811,3,,,POINT (129.1900811 35.5712605)
17400,8897566073,35.6752366,129.1661208,3,,,POINT (129.1661208 35.6752366)
17401,8897566084,35.6780322,129.1209707,1,,,POINT (129.1209707 35.6780322)
17402,8897566089,35.665464,129.1227195,1,,,POINT (129.1227195 35.665464)
17403,8897566097,35.6403544,129.1585404,3,,,POINT (129.1585404 35.6403544)
17404,8898480671,35.5365692,129.4296081,3,,,POINT (129.4296081 35.5365692)
17405,8898480672,35.536432,129.4294073,3,,,POINT (129.4294073 35.536432)
17406,8898480673,35.536644,129.4295422,1,,,POINT (129.4295422 35.536644)
17407,8898480674,35.536444,129.4297195,1,,,POINT (129.4297195 35.536444)
17408,8898527824,35.5363301,129.4284967,1,,,POINT (129.4284967 35.5363301)
17409,8898527835,35.5351837,129.4301252,3,,,POINT (129.4301252 35.5351837)
17410,8898527836,35.5360883,129.429844,3,,,POINT (129.429844 35.5360883)
17411,8898527837,35.535894,129.4295277,3,,,POINT (129.4295277 35.535894)
17412,8898527838,35.5361457,129.4284643,1,,,POINT (129.4284643 35.5361457)
17413,8898527846,35.535833,129.4295789,3,,,POINT (129.4295789 35.535833)
17414,8898527848,35.5351375,129.429946,3,,,POINT (129.429946 35.5351375)
17415,8898527849,35.5349979,129.4302777,1,,,POINT (129.4302777 35.5349979)
17416,8898527882,35.532216,129.4330622,3,,,POINT (129.4330622 35.532216)
17417,8898527884,35.5359592,129.4297885,1,,,POINT (129.4297885 35.5359592)
17418,8898527885,35.5360227,129.4297372,4,,,POINT (129.4297372 35.5360227)
17419,8899532215,35.5372759,129.4287052,3,,,POINT (129.4287052 35.5372759)
17420,8899532216,35.537209,129.4285943,1,,,POINT (129.4285943 35.537209)
17421,8899552127,35.5387649,129.4269805,1,,,POINT (129.4269805 35.5387649)
17422,8899552135,35.5384121,129.423702,3,,,POINT (129.423702 35.5384121)
17423,8899552140,35.6134957,129.3719455,3,,,POINT (129.3719455 35.6134957)
17424,8900406295,35.4688774,129.1279712,4,,,POINT (129.1279712 35.4688774)
17425,8900406302,35.4726434,129.1270056,3,,,POINT (129.1270056 35.4726434)
17426,8903924753,35.4713382,129.1297047,3,,,POINT (129.1297047 35.4713382)
17427,8903924765,35.4712786,129.1289989,3,,,POINT (129.1289989 35.4712786)
17428,8903924776,35.4669835,129.1257155,3,,,POINT (129.1257155 35.4669835)
17429,8903924782,35.4676694,129.1243355,3,,,POINT (129.1243355 35.4676694)
17430,8905700411,35.5541277,129.2672516,3,,,POINT (129.2672516 35.5541277)
17431,8958740940,35.5933249,129.3553296,3,,,POINT (129.3553296 35.5933249)
17432,8958740941,35.5933593,129.3561091,3,,,POINT (129.3561091 35.5933593)
17433,8958767468,35.5942428,129.3559311,3,,,POINT (129.3559311 35.5942428)
17434,8958767469,35.5942337,129.3555764,3,,,POINT (129.3555764 35.5942337)
